YEAR,AVERAGE_CO2
154.0,278.2
175.0,277.7
241.0,280.4
266.0,278.4
274.0,280.2
296.0,281.0
318.0,281.8
357.0,277.9
384.0,277.4
406.0,279.3
437.0,280.1
488.0,277.2
518.0,276.9
552.0,276.7
557.0,278.5
582.0,276.3
615.0,278.0
637.0,279.7
669.0,278.6
701.0,277.2
730.0,280.1
762.0,279.3
793.0,279.8
822.0,278.8
875.0,279.6
914.0,280.2
958.0,277.5
983.0,278.9
1018.0,279.9
1019.0,280.0
1040.0,281.0
1049.0,281.0
1070.0,283.0
1099.0,283.0
1116.0,283.0
1146.0,284.4
1166.0,284.1
1200.0,284.4
1211.0,283.8
1251.0,282.3
1260.0,282.3
1278.0,278.6
1307.0,281.7
1330.0,284.0
1349.0,278.5
1390.0,280.9
1411.0,279.8
1429.0,279.9
1449.0,282.4
1469.0,280.2
1502.0,283.1
1530.0,283.8
1550.0,283.5
1560.0,282.0
1573.0,282.5
1588.0,281.2
1591.0,279.4
1603.0,275.1
1609.0,271.2
1629.0,273.9
1640.0,276.8
1649.0,278.0
1682.0,276.7
1690.0,276.5
1694.0,277.4
1703.0,275.0
1710.0,276.3
1719.0,276.4
1723.0,277.70000000000005
1734.0,278.4
1741.0,276.9
1746.0,275.4
1749.0,277.6
1752.0,277.3
1760.0,276.6
2000.5,368.25
2001.5,369.65
2002.5,371.87
2003.5,374.22
2004.5,376.01
2005.5,378.16
2006.5,380.2
2007.5,382.07
2008.5,383.99
2009.5,385.74
2010.5,388.0
2011.5,389.85
2012.5,392.02
2013.5,394.78
2014.5,396.89
2015.5,399.19
2016.5,402.41
2017.5,404.54
2018.5,406.9
2019.5,409.54
2020.5,412.02
2021.5,414.1
2022.5,416.31
